cw_ts_bert_preprocessed.csvFeatures,mean_fi
cartel,2.51889499620802
slightly,2.2920333445619647
plateau,2.1950215096377526
insurgent,2.1914979016092007
allied,2.0560860073370963
kill,2.055493534771412
forced,2.0052032843893413
wounded,1.9851041498442297
immediate,1.9746499914061544
offensive,1.9301160578317655
bad,1.924118426626546
generation,1.8713516934316463
displaced,1.8700851573269535
alias,1.8625293078026697
displace,1.7954040568328058
article,1.7428153939198865
fighting,1.7273805921292642
surge,1.7027731343930976
score,1.6695481103902075
embezzlement,1.6598068437695084
humanitarian,1.6553546067697469
temple,1.6452890425705173
subject,1.6402086613749833
infiltrate,1.5964337255396848
progressive,1.589107333851611
killed,1.5596535603237094
civilian casualty,1.5530023554931398
procedure,1.544694289957364
coordinated,1.5130236483605015
elder,1.5117413349104978
fight continue,1.5043306447939766
mostly,1.4987553955723627
cast,1.4948552626226959
invasion,1.480256228091801
assume,1.478721596925426
liberation movement,1.4732389539521074
southwest,1.4602460697239956
roadside,1.4593784108363292
hotel,1.4455220403734772
assistant,1.4441411521981389
dam,1.4327624918554527
industry,1.4190570482144835
intensify,1.4181791569943838
night,1.411807148545691
get,1.4082593874048426
unilaterally,1.4062016194343248
absentia,1.4031114424119095
line control,1.3954014176293683
bombing,1.3872838810988963
passage,1.3778966698937865
behead,1.3751501587880108
across line,1.360198424001287
informal,1.3517801598078323
overturn,1.3499977619904795
estimate,1.3438205041716893
fraud,1.3431160815898862
commercial,1.3346783586739657
record,1.3345719094216015
civilian,1.3321662376218428
subsidy,1.3302436716961255
toll,1.328123095046892
suicide,1.3276624497973821
currently,1.3260044624650713
retake,1.3253495084991156
democratic front,1.3185567293884435
coastal,1.3129769723519913
declared,1.3033245364048975
achieve,1.3022022344899287
ceasefire,1.2959177300177704
sectarian,1.2914973447528943
reprisal,1.28477294971097
attack,1.2814538237102302
body,1.2792738554637855
worker party,1.2661793503726055
revolutionary,1.2619638693333075
claimed,1.2590484008010516
fight,1.254315753296701
trust,1.251902229118637
data,1.2514726664801707
partially,1.2488549730700016
heavy,1.2463308384296439
clan,1.2458360744654857
hostile,1.2454471283852633
blue,1.2389566355618065
militant continue,1.2352775358868135
deterioration,1.2346940885994813
significantly,1.2240397290514244
intercommunal,1.2180705602192972
gain,1.2154475001575633
militia,1.214470004384431
dead,1.2086386364978507
martial law,1.2079550438505318
crash,1.2062195300108016
related,1.2035877391490044
congress,1.2018686936067007
marine,1.201564469461744
hear,1.1991531023361144
particularly,1.1927524007515262
conclusion,1.1909374700012756
targeted,1.1898467065194283
attack continue,1.1833056955384802
outcry,1.1752101656956535
throughout,1.1702828360452044
struggle,1.1668150512172064
reporting,1.1653737531431771
church,1.16321849400062
coordinator,1.1543238128135316
protection,1.1528777554443388
leftist,1.1434697552465702
sharp,1.1426752258298616
publish,1.1387723042261315
revision,1.138434399836132
truck,1.1356607037899593
outlet,1.1330003767715624
contractor,1.1318354890134896
new people,1.1280636096691259
unconstitutional,1.1247467800931328
credible,1.122215195086539
quickly,1.1159538878306439
shirt,1.1141680580887952
profile,1.110536382460896
contain,1.1026508365359933
praise,1.1015131833332374
expansion,1.1009899002005292
paramilitary,1.1006540440883292
internal,1.0990671078959748
integrity,1.0976624700401094
beyond,1.0975973815228333
framework,1.0951619408663764
convene,1.0944241596864508
secular,1.0943053139828207
turmoil,1.0899224522004958
sole,1.089456675244446
uprise,1.0887114270844367
condemnation,1.0883457735585234
central,1.087579232244782
mobilisation,1.0825113172946257
provincial capital,1.082484593258115
nominee,1.0753858916226884
gen,1.0729671485721355
objection,1.0713345937410954
twin,1.0706038104783753
tackle,1.0697021694412643
recount,1.0660968552114511
state,1.065939613367398
calendar,1.0654283600736023
polling,1.0631700217653137
drone strike,1.0616536599858668
disappearance,1.0613374195724432
cover,1.0607419920518246
aerial,1.060651855706776
asylum,1.0605416506603205
common,1.0603777677937933
strategy,1.05993822771159
planned,1.0535843648097516
intervention,1.0497041506052207
treason,1.045756413217624
intense,1.04244999464422
resistance,1.0396100492461948
spending,1.0361585473138841
margin,1.0316774620723526
though,1.029630050418273
escalation,1.0293748637738331
explosive device,1.0283425482377484
outskirt,1.0239294604323093
ebola,1.023139569046247
illegitimate,1.0188665380094664
defection,1.0171811764117238
rebel,1.016783599160674
dictator,1.0150728880115591
ongoing,1.013955960896564
enable,1.012467917315769
herdsman,1.012020418588602
absence,1.0083824017870495
slow,1.0083027584341542
chemical,1.0070578302993218
spread,1.0035643302665134
priority,0.9975007113458398
escort,0.997496966554705
inadequate,0.9972952576860148
red shirt,0.9959832460851399
test,0.9956441709659106
approve new,0.9956329090232684
roadmap,0.9949692698045378
warlord,0.9944486006130935
district kill,0.9939473369474559
western,0.9910798493138724
underway,0.9876201116253138
semi,0.9861406495321623
fall,0.9807676487195284
formal,0.9792008672187131
favour,0.9779610926647312
detainee,0.9771384189232318
renew,0.9752126735193454
stress,0.9737102272462224
governor,0.9719627880520211
extra,0.9710557497260343
prospect,0.9703060711263918
rig,0.9665148889550028
fighter kill,0.9621028142767866
open,0.9590460097318638
shrine,0.9589552361942282
soldier militant,0.9557693328738648
graft,0.9554364996392138
discovery,0.9549877027754082
blast,0.9528965513960997
legitimate,0.9523030133454384
exist,0.9457661673004957
outstanding,0.9446529069064274
equality,0.9375291922193204
emphasise,0.9363974471214229
fierce,0.9337438854240624
sharply,0.9335186572703005
study,0.9333573663424242
skirmish,0.9326730893351943
along line,0.9322751256314479
hard,0.9245215658408055
living,0.9238643827691956
clash army,0.9235087884090261
militant soldier,0.9218839307126572
violence,0.9203970789032508
hop,0.920278380363172
right violation,0.9202079256814143
displacement,0.918485972768339
warplane,0.9176988312296546
loyalist,0.9175145234460598
least,0.91695805220779
summon,0.9114405708546741
public security,0.9084728782830972
basis,0.9072660046460784
passenger,0.9071128853911485
federal,0.9008880580384291
provision,0.8994977121420211
captured,0.8976181498700836
imprisoned,0.8969705423603367
additional,0.891902234585561
aircraft,0.8904926285967492
process,0.8874586699900107
whether,0.8851149046718467
kill militant,0.8844839457267808
relatively,0.8835395167161538
parallel,0.8814466794897458
survive,0.8799054509494002
shelling,0.8794726871200534
free,0.8780901291641628
ammunition,0.87779771391117
escalate,0.8777226185418818
fighter,0.8772163847864995
reportedly kill,0.8760774666966087
environment,0.8727877313181722
tear,0.8723766239373074
imposition,0.8705715225665724
river,0.8700754983271738
last,0.8696019618147194
nearby,0.8694833176020648
intercept,0.8686821832610919
withdrawal,0.8683187846886895
migration,0.8666847359314966
indictment,0.8656048387237014
little,0.8652830983238282
county,0.8650412402460516
urgent,0.8646970180870891
ambush,0.8644144949419769
shortly,0.8639943656708141
regime force,0.8619586817392231
ask,0.8616711645809056
repress,0.8605363645896977
stage,0.8576307067842623
affiliate,0.856977695159166
curb,0.8560703473122103
former vp,0.8559304167484905
loss,0.8545262096075288
personal,0.8534373282624186
bodyguard,0.8525567590472534
permission,0.8508621052832339
reaffirm,0.8482063657422259
revenue,0.8472041728694031
young,0.8464575053027754
stand,0.8464503515584392
vigilante,0.8461657417854103
seized,0.845911489625544
instigate,0.8458135691674172
arrive,0.8410377980193088
begin,0.8400113566860409
firm,0.8392439487907343
umbrella,0.8384326848947238
charge include,0.8373929066663551
govt national,0.834125661321773
defend,0.8337874216087598
militant kill,0.8326861419398617
sovereign,0.8324162571659557
compliance,0.830747571637256
highway,0.8302940737249636
intent,0.8297670860211669
inclusive,0.8295618769300411
bind,0.8281737244012289
recapture,0.8274136170687874
pirate,0.8260833391984717
reporter,0.8227790440910756
oversee,0.8226858797814254
legitimacy,0.8219804828029295
audit,0.8212114331422773
incursion,0.820689980063786
capture,0.8205503446264448
city,0.8205306649753499
tank,0.8201562945536356
troop,0.8201463426411155
southeast,0.8156543128412739
past,0.8156135986504032
operation,0.8143263485519767
willing,0.8139058023826007
add,0.8131416956066764
splinter,0.8128718234161827
curfew,0.8121029113078373
agency,0.8080067191863302
battle,0.8076794782552591
ultimatum,0.8068359360223909
democratic force,0.806288302965189
countrywide,0.8059232754546665
many,0.805631484333724
announcement,0.8055874395744432
tv,0.8054179593502442
debate,0.8045401008327933
key,0.803919140293918
transitional,0.8023986120564732
airstrikes,0.8009889409109933
confession,0.7999676886554303
approach,0.7979006860171535
expand,0.7978545510904667
disqualify,0.7968808533953071
wide,0.7947587950207835
relocate,0.7941604714498338
plus,0.7915392124663059
rescue,0.7908396344270809
anger,0.7891752057296821
training,0.7875000546350323
strategic,0.7872360918918658
prosecution,0.787004643239669
name new,0.7858276765377938
widespread,0.7835074558282824
transfer,0.7818268777799464
airstrike,0.7799690147166396
defeat,0.7799163395064335
fire tear,0.7794360079656811
initiate,0.7793110585860281
execute,0.7786026584983381
separatist leader,0.7785474030712219
outrage,0.7779769621589685
compound,0.7778255843139126
disappear,0.7748245082624556
unified,0.7746129919632698
especially,0.7745424107364278
oversight,0.7741500206042755
drop,0.7739268700444542
kill army,0.773868165094997
airport,0.7736652128760785
contribute,0.7705237865556255
militant,0.7699829119827151
voting,0.7691421681210208
disputed,0.7690701713040254
govt accuse,0.7689507697280187
strike,0.7647644295133642
pave,0.7641310817413206
separate,0.7640673523762647
legislator,0.7633427602409263
major,0.7604839431153148
neighbour,0.7596986772526753
east,0.7578724218882302
effect,0.7569359358842256
upper,0.7564284638005595
infighting,0.7563649728005977
monarchy,0.756073536638087
attend,0.755821910323131
debt,0.7555856897971925
party agree,0.7553593485483885
worsen,0.7537181759848005
much,0.752655705600539
national,0.7510166405485103
bureau,0.7493907453652003
launch offensive,0.7493103922053288
supply,0.746516938378973
money,0.7451522919052522
abandon,0.7446610164212013
across,0.7430283483515789
least dead,0.7429230679264037
jihad,0.7420891815824144
democracy,0.7417202793643376
president elect,0.7415632303449124
level,0.741262429552523
political prisoner,0.7407557093987848
application,0.7397455579712591
sale,0.7397383444872409
post election,0.7378573553285955
unclaimed,0.736153982605932
intra,0.7359033190550063
message,0.7349084378009718
obtain,0.7345044935630052
society,0.7343823567473983
evidence,0.7341290132911273
drug,0.7341187180415815
sexual,0.7339058141820962
highly,0.7327406011198472
uprising,0.7305364864877364
extend,0.7300757365997794
civilian dead,0.7295038557211222
clash govt,0.7293412514577844
oppose,0.7274945290790324
promise,0.7268944892539009
continue kill,0.7252594408756405
grave,0.7242618426916914
pro regime,0.7232839397744599
dismissal,0.7225663350294965
shut,0.7222753920216853
counter insurgency,0.7215356061983413
offer,0.7213059582913209
separatist,0.7206374872847894
express,0.7188558561672288
inauguration,0.7180110915361231
formation,0.7164555008002216
redeployment,0.7162882938390893
setback,0.7136654520786792
high,0.712579919157571
inclusion,0.7124285722653421
representative,0.7120742651263045
blow,0.7110049258646483
disperse,0.7109053414611829
stipulate,0.7100277706174286
detonate,0.70975482216079
anti,0.7075657810379383
regime,0.7065453379880775
resign,0.7020566859710451
reopen,0.7015794450178727
province kill,0.7012453415747122
signing,0.7011078112577497
belt,0.7010263470210658
local govt,0.7002364440426276
arson,0.6991329623040969
publicly,0.699094502150286
runner,0.6985785222222158
blogger,0.69842697987396
regain,0.6965156151206555
resource,0.6960187527602459
rank,0.6958657094997307
hold area,0.6947404912193142
coordinate,0.6944400166412389
grand,0.6941258588271249
kill since,0.6928485755440992
section,0.6926723217943668
dismantle,0.6920784087584116
penalty,0.6917954575786955
video,0.6905982492657488
recall,0.6904085690990409
villager,0.6897782942361398
discover,0.6865666724678021
suicide bomb,0.6857954686088107
management,0.6850478950845507
chair,0.6849667641569277
conflict,0.6832252289255478
active,0.6816858369410529
envoy,0.6765966328197413
tension increase,0.675764983544324
mutiny,0.6755376692998046
never,0.6752029893269499
senior,0.675035783727998
tanker,0.6749044372559877
probe,0.6741349438193177
rebel hold,0.6740183207492988
success,0.6728467096509155
refuse,0.6727575825944655
minor,0.6725541058675297
complicity,0.6720830568184641
veto,0.6714088527205508
kill people,0.6699635466114657
include former,0.6698566212252173
limit,0.6696994901694897
single,0.6694496083269112
authority say,0.6693929349665779
object,0.6687733891592459
stance,0.6683263327884734
commission,0.6682571946988409
effectively,0.6677492045077612
recover,0.6675430124422336
disrupt,0.6672102251984247
phase,0.6663920845547641
withdrew,0.6655483304175001
repeal,0.6635012657235435
legislation,0.6634470425594358
resolution,0.6625915760199668
leak,0.6592451390722276
version,0.6578898077682166
kill least,0.6577083982194115
people dead,0.6574516564598897
brief,0.6570901685392179
town,0.6567394693205248
neutral,0.6564216884618674
break,0.6558593604957309
deepen,0.6558215442318653
force,0.6554629210488953
disarmament,0.6545065731787354
provoke,0.6542662665560375
combat,0.6539294456212208
welcome,0.6531385385897704
likely,0.6516449745797586
string,0.6514000447566655
advocate,0.6507396119052286
extrajudicial killing,0.6499116276040128
track,0.6495844053555526
withdraw troop,0.6489842657255057
loyal,0.6485984201893851
unresolved,0.6483338629075538
press,0.6468463220920248
incite,0.6443645101096266
base,0.6437499485395444
rival,0.6433761913814361
warship,0.6428865276428446
aggression,0.6421174103985638
eliminate,0.6416391754030936
flee,0.6415118237482729
group include,0.6409030600437368
breach,0.6406872122058085
let,0.6405690453866872
external,0.6372446102504289
complaint,0.6358690522307214
hunt,0.6354972296272352
acquit,0.6334268965294824
installation,0.6301770861561835
certain,0.627783125921195
staff,0.6277669395265643
kill suspect,0.6274433223299697
inform,0.6268100152665002
commander,0.6243866797046418
violently,0.6238860712643383
evacuation,0.6224269980644586
stay,0.62191036605902
figure,0.6216881158302053
revenge,0.6211518057008749
province,0.6203544815906066
state capital,0.6202524394258822
federal govt,0.6195056865464708
longstanding,0.6188557163663588
multiple,0.6188333323996005
authorise,0.618552669664046
due,0.6184855557294016
opposition continue,0.6176446181709105
south,0.6170075229808646
failed,0.6165757716155185
cease,0.616541613094977
force kill,0.6157652625251925
resume,0.6156454472903132
instal,0.6154504943682895
accordance,0.6152374524575442
fill,0.6135590871268545
talk government,0.6134391853184986
contact group,0.613168275998764
kill suspected,0.6120999694388798
council,0.611311526908459
board,0.6112164537311435
ethnic,0.6100287153986874
pending,0.6096968467315739
brigade,0.609207970949549
cessation,0.6088120790953351
delay,0.6086706129639516
heavily,0.6085403753104492
front,0.6082480235232842
least soldier,0.6082400483297233
escape,0.6079337008683015
entry,0.6067624318894084
special envoy,0.6063251211819483
north west,0.6060357642277455
violent,0.6056297805313025
stone,0.6048957433106437
pose,0.6040453915712081
go,0.6030011616599376
corrupt,0.6028207730392994
release,0.6023384894942214
detention,0.6020485881052312
liberty,0.6012663345399246
include,0.6011145637728161
give,0.6000550543871687
week,0.5992787983943441
ever,0.5980171647792742
global,0.5977409839415714
advisor,0.5976506161352866
reject,0.5969127436884611
bus,0.5968333416964081
shipment,0.5960780768857874
derail,0.5954184993308822
severe,0.5939379853975139
crackdown,0.5936200853511353
representation,0.5933406293530041
duty,0.5925773279291348
problem,0.5925031446291641
unilateral,0.5912081118232051
coordination,0.5911997598213397
counter terrorism,0.5903757837765844
mass protest,0.5892801189044696
mobile,0.5889350600227619
station,0.5882336894940896
multi,0.5877029858656664
senator,0.5871509082066277
spike,0.5871420999747441
army,0.5851991361085842
saw,0.5837103214944985
bomb,0.5834579796060224
insurgency,0.5832214218900356
unauthorised,0.5828084522636839
senior leader,0.5821057061378866
female,0.5819928964713357
rebel kill,0.581736842680573
right abuse,0.5816519381928873
execution,0.5814733708106536
take control,0.5800999130249997
deliver,0.5791729074089369
expect,0.5790300163127963
urban,0.5786093335930267
airbase,0.5775992159188251
double,0.5774224346734572
suspected islamist,0.5763997463433668
sect,0.5757362138029612
panel,0.5754019976066835
appoint,0.5745419792107392
autonomous,0.5741075919108097
lake,0.5739846804905328
assault,0.5734032328964529
dissolve,0.5728370402119559
tribe,0.5721614320622248
clash,0.5719921344744984
safety,0.5718988829292891
new round,0.5713873335744679
ban,0.5709207450686535
arm group,0.570553962332584
history,0.5705532544691735
retreat,0.5702692048210919
reinforcement,0.5699372722198175
kidnap,0.5690163809859258
terrorist,0.5682433476623276
report kill,0.5682306864700641
village near,0.5675392513568606
term,0.5670927017690347
prime minister,0.5670321814092955
sabotage,0.5660394366254077
widely,0.5650430629082425
political tension,0.5650088431815254
propaganda,0.5649602726492702
trilateral,0.5635330140811592
doubt,0.563330767692092
ex,0.5626072557783218
sea,0.5618138568412768
gathering,0.5617729192775367
sanction,0.5617575772968615
royal,0.5613480873785164
act,0.5613290869655483
increased,0.5599840138564078
collapse,0.5591103233696397
discussion,0.5588583405178754
fail agree,0.5585803707543724
produce,0.557682053736782
valley,0.556928334647835
administrative,0.5568518621901045
elsewhere,0.555593852969935
bilateral,0.5554366930660228
restriction,0.5548767691599622
renaissance,0.5547787925950126
adjourn,0.5538388101395062
aid,0.5537126192785367
territory,0.5536922508552354
village,0.5533812954541137
petition,0.5530990235246963
kill police,0.5529296815611456
disarm,0.5528036947942383
power share,0.551961645092496
least kill,0.5519168554595267
search,0.5513569760656416
receive,0.5511440537915647
inmate,0.5507672447528925
rise,0.5498489877358169
composition,0.5490561955521326
soldier kill,0.548619263351789
top,0.5480436797552135
imprisonment,0.5475296196171393
petrol,0.5469026595566804
commemorate,0.5466412914633636
stag,0.5465434617869759
retaliatory,0.5462958336235471
atrocity,0.5458389276509812
mainstream,0.5443621867615989
militiaman,0.5434560607939494
engage,0.5434414021599004
seizure,0.5431867674214447
willingness,0.5431728053656968
disband,0.5429413551624358
rejection,0.5424293637009251
initiative,0.5420747159858983
kill civilian,0.5411956667756381
outcome,0.5408308323420503
kill attack,0.5395034000223559
police civilian,0.5390271027158663
ethnic group,0.5386210396144822
protest continue,0.5382406317891318
pardon,0.5373606388024893
engagement,0.5360118335695162
parliament,0.5349099053006966
bomb kill,0.533780919942297
total,0.5306909123726885
criticised,0.5291087302884461
secret,0.5290403107059578
troop kill,0.5290374922639247
agreement,0.5279469516353646
turn,0.5274477589607087
impose sanction,0.5274117067833239
large,0.5270222590380684
presidential poll,0.5269923333593427
northeast,0.5266864988892459
international,0.5265180141789847
back,0.5262785272213328
member kill,0.5260033820415331
keep,0.5257392383613597
daily,0.5256269555440194
earlier,0.5253445242228205
legislative,0.5250948240470803
neighbourhood,0.5248986998798962
kill member,0.5242778012897614
patrol,0.5241604797464514
push,0.5232018292370851
right commission,0.5225719691962929
nearly,0.5218722370431677
short,0.5216237252546285
regional govt,0.5213326707137107
preliminary,0.5206762733650706
coup attempt,0.5206446925764578
unity govt,0.5202373514513934
torture,0.5189007422068281
gendarmerie,0.5185416812585719
significant,0.5184132113012252
corridor,0.518221070107993
arrest suspected,0.5180782014732783
jailed,0.5179870103628869
submit,0.5172356829150824
navy,0.5170673024325294
face,0.5156713809224642
emerge,0.5155536075241232
announce,0.5151418561614003
govt control,0.5146213551523827
spark,0.514331253748223
nomination,0.5136206340266518
document,0.5134350279003198
development,0.5122992795407859
miss,0.5119509265733356
aggressive,0.5107567500349356
alliance,0.510726791212827
continue,0.510473522735678
ngo,0.5103195524443693
conference,0.5102712230243095
attack kill,0.5098552414995516
insist,0.5096711868074705
restoration,0.5092550581553756
shell,0.5090766176393957
follow report,0.5089102444444242
govt crackdown,0.5087266042963708
kill security,0.5084938775884329
area,0.5084857857162168
advance,0.5084548916253402
clash continue,0.5083059582624345
facilitator,0.5082438214824873
least people,0.5081843280213165
editor,0.5080740536368287
replace,0.5077316664997777
beginning,0.5067343288788538
govt force,0.5050556916757689
student,0.5050181132018128
declare state,0.5044930251705292
dominate,0.5044029926390272
arrest opposition,0.5026866891176545
win,0.5026522970491226
influential,0.5024043831236904
herder,0.5021041382992888
regular,0.5019658384373705
respect,0.5017605699483718
repatriate,0.5005429377512166
mastermind,0.5004303000650702
delta,0.4997618986628112
victory,0.4996972265890718
attack govt,0.49861496569631375
production,0.4969289388755941
immediately,0.4963524344005446
region,0.4963210869606086
central bank,0.49623708539675865
cite,0.4959256919331233
month,0.4957661760067321
amount,0.4955803416280283
announce intention,0.4952152113144548
reverse,0.4949655519968882
crisis,0.49446468867813886
retaliation,0.4944508730050349
officially,0.49437900975488613
centre,0.4941727429447066
complain,0.4939959947060662
around,0.4927345891235567
campaigning,0.492713387447854
meanwhile,0.4926203601171045
king,0.49229862939710456
